# 5-regular loopless multigraphs on 10 vertices (max multiplicity 3)
# Fixed edges: [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (5, 6), (5, 6)]
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
17 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 8), (3, 8), (4, 5), (4, 6), (4, 6), (4, 7), (5, 6), (5, 6), (5, 6), (5, 7), (7, 8)]
18 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 8), (3, 8), (4, 5), (4, 6), (4, 6), (4, 6), (5, 6), (5, 6), (5, 7), (5, 7), (7, 8)]
24 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 8), (3, 8), (4, 5), (4, 5), (4, 6), (4, 7), (5, 6), (5, 6), (5, 6), (6, 7), (7, 8)]
25 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 8), (3, 8), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 7), (6, 7), (7, 8)]
28 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 8), (3, 8), (4, 5), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6), (6, 7), (6, 7), (7, 8)]
40 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 7), (3, 8), (4, 5), (4, 6), (4, 6), (4, 8), (5, 6), (5, 6), (5, 6), (5, 7), (7, 8)]
43 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 7), (3, 8), (4, 5), (4, 6), (4, 6), (4, 7), (5, 6), (5, 6), (5, 6), (5, 8), (7, 8)]
44 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 7), (3, 8), (4, 5), (4, 6), (4, 6), (4, 6), (5, 6), (5, 6), (5, 7), (5, 8), (7, 8)]
50 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 7), (3, 8), (4, 5), (4, 5), (4, 6), (4, 8), (5, 6), (5, 6), (5, 6), (6, 7), (7, 8)]
53 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 7), (3, 8), (4, 5), (4, 5), (4, 6), (4, 7), (5, 6), (5, 6), (5, 6), (6, 8), (7, 8)]
54 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 7), (3, 8), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 8), (6, 7), (7, 8)]
55 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 7), (3, 8), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 7), (6, 8), (7, 8)]
56 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 7), (3, 8), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 6), (7, 8), (7, 8)]
59 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 7), (3, 7), (3, 7), (3, 8), (4, 5), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6), (6, 7), (6, 8), (7, 8)]
112 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 6), (3, 7), (3, 7), (3, 8), (4, 5), (4, 5), (4, 6), (4, 7), (5, 6), (5, 6), (5, 6), (7, 8), (7, 8)]
113 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 6), (3, 7), (3, 7), (3, 8), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 7), (7, 8), (7, 8)]
116 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 6), (3, 7), (3, 7), (3, 8), (4, 5), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6), (6, 7), (7, 8), (7, 8)]
136 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 6), (3, 7), (3, 7), (3, 7), (4, 5), (4, 5), (4, 8), (4, 8), (5, 6), (5, 6), (5, 8), (6, 7), (6, 7)]
145 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 6), (3, 7), (3, 7), (3, 7), (4, 5), (4, 5), (4, 6), (4, 8), (5, 6), (5, 6), (5, 6), (7, 8), (7, 8)]
147 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 6), (3, 7), (3, 7), (3, 7), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 8), (7, 8), (7, 8)]
150 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 6), (3, 7), (3, 7), (3, 7), (4, 5), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6), (6, 8), (7, 8), (7, 8)]
156 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 6), (3, 6), (3, 8), (3, 8), (4, 5), (4, 7), (4, 7), (4, 7), (5, 6), (5, 6), (5, 7), (5, 7), (6, 8)]
207 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 6), (3, 6), (3, 7), (3, 7), (4, 5), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6), (7, 8), (7, 8), (7, 8)]
271 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 9), (1, 9), (1, 9), (2, 8), (2, 8), (2, 9), (2, 9), (3, 5), (3, 7), (3, 7), (3, 8), (4, 5), (4, 6), (4, 6), (4, 7), (5, 6), (5, 6), (5, 6), (7, 8), (7, 8)]
