# 5-regular loopless multigraphs on 8 vertices (max multiplicity 3)
# Fixed edges: [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (5, 6), (5, 6)]
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
101 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 5), (3, 7), (4, 7), (5, 6), (5, 6), (5, 6)]
106 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 4), (3, 7), (5, 6), (5, 6), (5, 6), (5, 7)]
124 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 5), (2, 5), (2, 6), (3, 4), (3, 4), (3, 7), (3, 7), (4, 6), (5, 6), (5, 6), (5, 6)]
125 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 5), (2, 5), (2, 6), (3, 4), (3, 4), (3, 6), (3, 7), (4, 7), (5, 6), (5, 6), (5, 6)]
131 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 5), (2, 5), (2, 6), (3, 4), (3, 4), (3, 4), (3, 7), (5, 6), (5, 6), (5, 6), (6, 7)]
140 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 7), (2, 7), (3, 5), (3, 6), (3, 6), (3, 6), (4, 5), (4, 5), (5, 6), (5, 6)]
141 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 7), (2, 7), (3, 5), (3, 5), (3, 6), (3, 6), (4, 5), (4, 6), (5, 6), (5, 6)]
142 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 7), (2, 7), (3, 5), (3, 5), (3, 5), (3, 6), (4, 6), (4, 6), (5, 6), (5, 6)]
143 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 7), (2, 7), (3, 4), (3, 5), (3, 6), (3, 6), (4, 5), (5, 6), (5, 6), (5, 6)]
144 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 7), (2, 7), (3, 4), (3, 5), (3, 5), (3, 6), (4, 6), (5, 6), (5, 6), (5, 6)]
