# 5-regular loopless multigraphs on 8 vertices (max multiplicity 2)
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
110 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 7), (4, 5), (5, 7)]
111 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 5), (4, 7), (5, 7)]
116 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 7), (4, 7), (5, 6)]
117 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 7), (4, 6), (5, 7)]
118 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 7), (4, 5), (6, 7)]
119 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 6), (4, 7), (5, 7)]
120 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 5), (4, 7), (6, 7)]
153 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 6), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 5), (2, 5), (3, 4), (3, 5), (3, 5), (4, 6), (4, 7)]
171 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 6), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 5), (5, 6), (5, 7)]
248 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (3, 5), (5, 6), (5, 6)]
257 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 5), (5, 6), (5, 7)]
270 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 7), (5, 6), (5, 6)]
271 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 6), (5, 6), (5, 7)]
272 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 5), (5, 6), (6, 7)]
353 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (3, 5), (5, 6), (5, 7)]
358 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 5), (5, 7), (5, 7)]
371 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 7), (5, 6), (5, 7)]
372 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 6), (5, 7), (5, 7)]
373 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 5), (5, 7), (6, 7)]
450 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (3, 6), (5, 6), (5, 6)]
463 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 7), (5, 6), (5, 6)]
464 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 6), (5, 6), (5, 7)]
465 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 5), (5, 6), (6, 7)]
474 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 6), (5, 6), (6, 7)]
593 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (3, 7), (5, 6), (5, 6)]
594 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (3, 6), (5, 6), (5, 7)]
595 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (3, 5), (5, 6), (6, 7)]
608 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 7), (5, 6), (5, 7)]
609 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 6), (5, 7), (5, 7)]
610 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 5), (5, 7), (6, 7)]
623 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 7), (5, 6), (6, 7)]
624 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 6), (5, 7), (6, 7)]
625 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 5), (6, 7), (6, 7)]
710 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 6), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (3, 7), (5, 6), (5, 7)]
711 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 6), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (3, 6), (5, 7), (5, 7)]
712 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 6), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (3, 5), (5, 7), (6, 7)]
717 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 5), (1, 5), (1, 6), (1, 6), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 7), (5, 7), (5, 7)]
