# 5-regular loopless multigraphs on 8 vertices (max multiplicity 2)
# Fixed edges: [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (5, 6), (5, 6)]
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
17 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 6), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 7), (3, 7), (4, 5), (4, 7), (5, 6), (5, 6)]
18 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 6), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 5), (3, 7), (4, 7), (4, 7), (5, 6), (5, 6)]
71 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 6), (1, 7), (1, 7), (2, 4), (2, 4), (2, 7), (2, 7), (3, 5), (3, 5), (3, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 6)]
93 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 6), (1, 7), (1, 7), (2, 4), (2, 4), (2, 5), (2, 7), (3, 5), (3, 5), (3, 6), (3, 6), (4, 7), (4, 7), (5, 6), (5, 6)]
296 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 7), (2, 7), (3, 5), (3, 7), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6)]
315 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 5), (2, 7), (3, 7), (3, 7), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6)]
657 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 5), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 6)]
658 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 5), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 6), (3, 7), (4, 7), (4, 7), (5, 6), (5, 6)]
711 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 5), (1, 7), (1, 7), (2, 4), (2, 4), (2, 7), (2, 7), (3, 5), (3, 5), (3, 6), (3, 6), (4, 6), (4, 7), (5, 6), (5, 6)]
720 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 5), (1, 7), (1, 7), (2, 4), (2, 4), (2, 6), (2, 7), (3, 5), (3, 5), (3, 6), (3, 6), (4, 7), (4, 7), (5, 6), (5, 6)]
936 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 5), (1, 7), (1, 7), (2, 3), (2, 3), (2, 7), (2, 7), (3, 6), (3, 7), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6)]
942 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 5), (1, 7), (1, 7), (2, 3), (2, 3), (2, 6), (2, 7), (3, 7), (3, 7), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6)]
