# 5-regular loopless multigraphs on 6 vertices (max multiplicity 3)
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
13 | [(0, 4), (0, 4), (0, 5), (0, 5), (0, 5), (1, 2), (1, 3), (1, 3), (1, 4), (1, 5), (2, 3), (2, 3), (2, 3), (2, 4), (4, 5)]
16 | [(0, 4), (0, 4), (0, 5), (0, 5), (0, 5), (1, 2), (1, 3), (1, 3), (1, 4), (1, 4), (2, 3), (2, 3), (2, 3), (2, 5), (4, 5)]
19 | [(0, 4), (0, 4), (0, 5), (0, 5), (0, 5), (1, 2), (1, 3), (1, 3), (1, 3), (1, 5), (2, 3), (2, 3), (2, 4), (2, 4), (4, 5)]
22 | [(0, 4), (0, 4), (0, 5), (0, 5), (0, 5), (1, 2), (1, 3), (1, 3), (1, 3), (1, 4), (2, 3), (2, 3), (2, 4), (2, 5), (4, 5)]
29 | [(0, 4), (0, 4), (0, 5), (0, 5), (0, 5), (1, 2), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 3), (2, 3), (3, 4), (4, 5)]
32 | [(0, 4), (0, 4), (0, 5), (0, 5), (0, 5), (1, 2), (1, 2), (1, 3), (1, 4), (1, 4), (2, 3), (2, 3), (2, 3), (3, 5), (4, 5)]
35 | [(0, 4), (0, 4), (0, 5), (0, 5), (0, 5), (1, 2), (1, 2), (1, 3), (1, 3), (1, 5), (2, 3), (2, 3), (2, 4), (3, 4), (4, 5)]
39 | [(0, 4), (0, 4), (0, 5), (0, 5), (0, 5), (1, 2), (1, 2), (1, 3), (1, 3), (1, 4), (2, 3), (2, 3), (2, 5), (3, 4), (4, 5)]
40 | [(0, 4), (0, 4), (0, 5), (0, 5), (0, 5), (1, 2), (1, 2), (1, 3), (1, 3), (1, 4), (2, 3), (2, 3), (2, 4), (3, 5), (4, 5)]
41 | [(0, 4), (0, 4), (0, 5), (0, 5), (0, 5), (1, 2), (1, 2), (1, 3), (1, 3), (1, 4), (2, 3), (2, 3), (2, 3), (4, 5), (4, 5)]
